OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,Shape__Area,Shape__Length,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area_2,Shape__Length_2
1,11001000100,1907610,512798,Census Tract 1,District of Columbia,District of Columbia,5151,348,248,177,18,30,9,15,0,17,185,160,36,40,0,17,0,17,4903,368,285,136,388,196,102,89,2867,240,907,207,177,109,177,104,4.8,3.42079618263208,27,38,3.4,4.61080071943667,3157969.92578125,16275.5930843861,802,257,3157969.92578125,16275.5930843861
2,11001000201,503312,0,Census Tract 2.01,District of Columbia,District of Columbia,24,56,24,56,0,12,0,12,0,12,24,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,100,0,0,21,,,832414.1953125,4265.95624132817,0,29,832414.1953125,4265.95624132817
3,11001000202,776630,428562,Census Tract 2.02,District of Columbia,District of Columbia,3595,557,582,307,0,12,0,12,0,12,550,302,15,19,17,27,0,12,3013,412,122,94,159,81,75,64,1731,360,767,160,135,68,24,28,16.2,8.16295463994787,0,21,0,5.89887640449438,1284189.109375,13196.7554343063,356,141,1284189.109375,13196.7554343063
4,11001000300,1010813,2334,Census Tract 3,District of Columbia,District of Columbia,6374,569,1184,447,15,25,0,17,14,22,1122,443,33,39,0,17,0,17,5190,387,451,119,291,144,76,48,3572,348,618,150,117,80,65,85,18.6,6.81400086009345,29,37,3.4,4.29657922015523,1676009.16796875,5244.31385997457,847,196,1676009.16796875,5244.31385997457
5,11001000400,1542760,69,Census Tract 4,District of Columbia,District of Columbia,1485,130,169,66,0,12,9,13,19,21,141,52,0,12,0,12,0,12,1316,126,99,41,106,31,48,28,655,90,297,85,91,46,20,17,11.4,4.33134298627911,28,27,10,9.32900348914502,2552695.71484375,7468.46769033422,281,65,2552695.71484375,7468.46769033422
6,11001000501,940586,30821,Census Tract 5.01,District of Columbia,District of Columbia,3593,306,254,140,37,44,12,18,0,12,177,105,28,32,0,12,0,12,3339,323,166,98,105,81,131,70,2285,264,391,144,182,145,79,69,7.1,3.84967068913828,49,49,10.9,10.2144035653806,1561991.26171875,8755.02811442883,451,153,1561991.26171875,8755.02811442883
7,11001000502,581506,0,Census Tract 5.02,District of Columbia,District of Columbia,3296,184,92,59,0,12,0,12,0,12,74,56,8,13,0,12,10,16,3204,192,140,44,125,53,160,64,2069,190,464,89,201,70,45,45,2.8,1.78325349204526,0,21,0,4.94117647058824,962251.21875,5195.04782210289,425,96,962251.21875,5195.04782210289
8,11001000600,1442822,71,Census Tract 6,District of Columbia,District of Columbia,4777,337,266,130,0,12,19,32,19,33,170,89,48,53,10,17,0,12,4511,346,334,137,368,130,54,40,2573,292,853,186,223,71,106,78,5.6,2.69287197842749,38,48,4.8,5.92466148740433,2388176.9375,6692.09665062309,794,199,2388176.9375,6692.09665062309
9,11001000701,548945,0,Census Tract 7.01,District of Columbia,District of Columbia,5643,394,663,301,16,26,18,31,0,17,490,273,70,79,69,82,0,17,4980,418,224,123,132,75,34,35,2655,353,1313,241,519,160,103,74,11.7,5.27058453658239,34,44,8,9.95888664873272,908405.45703125,4113.24444453833,424,155,908405.45703125,4113.24444453833
10,11001000702,293676,158,Census Tract 7.02,District of Columbia,District of Columbia,3318,267,306,194,0,12,0,12,0,12,306,194,0,12,0,12,0,12,3012,305,144,62,64,57,31,36,2280,281,259,116,180,101,54,61,9.2,5.79960626148982,0,21,0,8.78661087866109,486170.13671875,3519.88066987888,239,94,486170.13671875,3519.88066987888
11,11001000801,2913330,168211,Census Tract 8.01,District of Columbia,District of Columbia,5848,462,604,262,0,17,23,38,15,24,550,260,0,17,16,27,0,17,5244,429,297,151,338,161,325,140,2623,277,1170,231,340,144,151,83,10.3,4.40523490015065,38,48,3.8,4.70196061881732,4821327.5390625,14470.8077142113,998,266,4821327.5390625,14470.8077142113
12,11001000802,1713200,669752,Census Tract 8.02,District of Columbia,District of Columbia,3476,308,464,188,0,12,35,43,0,12,410,183,19,24,0,12,0,12,3012,295,226,129,211,73,226,92,1814,195,275,85,191,81,69,50,13.3,5.27759778054204,35,46,5,6.46221141988817,3164973.97265625,16702.4270601298,698,180,3164973.97265625,16702.4270601298
13,11001000901,2952811,75151,Census Tract 9.01,District of Columbia,District of Columbia,4704,399,330,219,0,17,20,26,27,42,270,205,13,20,0,17,0,17,4374,317,292,83,441,111,396,107,1833,247,977,146,242,93,193,93,7,4.61742817061375,47,52,4,4.37787211609586,5011918.2578125,9122.53554920987,1176,183,5011918.2578125,9122.53554920987
14,11001000902,1867106,307257,Census Tract 9.02,District of Columbia,District of Columbia,2584,196,58,29,0,12,0,12,5,8,38,19,15,18,0,12,0,12,2526,196,130,39,315,73,306,90,1153,142,463,93,120,48,39,37,2.2,1.10930179974925,5,19,0.7,2.51061616632561,3154927.33984375,20593.6486266044,756,124,3154927.33984375,20593.6486266044
15,11001001001,2454383,0,Census Tract 10.01,District of Columbia,District of Columbia,7674,435,382,178,0,17,0,17,0,17,337,169,19,30,25,40,1,4,7292,414,742,209,793,227,511,120,3526,292,1233,174,271,128,216,99,5,2.30229361991971,0,29,0,1.41739980449658,4063753.69140625,8381.00439763226,2046,332,4063753.69140625,8381.00439763226
16,11001001002,889584,137,Census Tract 10.02,District of Columbia,District of Columbia,3512,464,959,311,0,12,0,12,0,12,940,309,0,12,19,31,0,12,2553,440,137,64,116,115,120,114,1869,289,189,92,122,60,0,12,27.3,8.08714716134648,0,21,0,5.63002680965147,1472692.0390625,5087.14354344476,373,175,1472692.0390625,5087.14354344476
17,11001001100,1676582,0,Census Tract 11,District of Columbia,District of Columbia,4878,323,245,147,0,12,0,12,0,12,128,77,93,110,0,12,24,46,4633,302,515,204,260,108,162,70,2521,287,872,189,239,77,64,59,5,2.99512271553981,0,21,0,2.24119530416222,2776587.16015625,7342.65574024836,937,242,2776587.16015625,7342.65574024836
18,11001001200,1218245,0,Census Tract 12,District of Columbia,District of Columbia,5031,429,211,106,0,17,0,17,0,17,189,106,6,7,16,26,0,17,4820,424,362,165,340,155,235,103,3056,318,616,136,152,88,59,49,4.2,2.07636363204426,0,29,0,3.09498399146211,2016913.484375,6317.87741797721,937,250,2016913.484375,6317.87741797721
19,11001001301,2854877,27548,Census Tract 13.01,District of Columbia,District of Columbia,4048,396,178,109,0,12,0,12,34,39,144,98,0,12,0,12,0,12,3870,395,257,165,287,188,138,79,2420,273,541,127,208,89,19,30,4.4,2.65810574187924,34,43,4.7,5.74666385056129,4727255.97265625,11516.0830886886,716,266,4727255.97265625,11516.0830886886
20,11001001302,1592787,15561,Census Tract 13.02,District of Columbia,District of Columbia,7563,740,765,287,26,42,0,17,0,17,630,271,79,68,0,17,30,47,6798,737,201,122,231,213,94,76,4661,732,1197,293,330,173,84,65,10.1,3.66345766363886,26,48,4.7,8.40581361856511,2636889.80078125,8147.36443596191,552,261,2636889.80078125,8147.36443596191
21,11001001401,788163,0,Census Tract 14.01,District of Columbia,District of Columbia,3334,193,204,92,11,19,0,12,9,16,145,71,37,32,2,3,0,12,3130,182,265,99,324,81,183,86,1641,157,571,91,109,65,37,30,6.1,2.7366205013782,20,28,2.5,3.50063131313131,1305565.38671875,5190.98111446845,792,157,1305565.38671875,5190.98111446845
22,11001001402,895209,0,Census Tract 14.02,District of Columbia,District of Columbia,3336,212,189,112,0,12,0,12,0,12,105,87,27,20,14,22,43,51,3147,260,414,116,140,64,188,66,1523,202,417,104,304,108,161,79,5.7,3.33795335178666,0,21,0,2.83018867924528,1482693.4453125,6265.03862556119,742,149,1482693.4453125,6265.03862556119
23,11001001500,4686643,12091,Census Tract 15,District of Columbia,District of Columbia,5869,315,228,160,0,17,34,52,35,53,111,97,27,43,21,33,0,17,5641,318,279,128,716,145,730,189,2257,219,1110,188,306,112,243,99,3.9,2.71820326246029,69,76,3.8,4.19433722563979,7777366.15625,16233.8897036376,1794,281,7777366.15625,16233.8897036376
24,11001001600,2665665,35624,Census Tract 16,District of Columbia,District of Columbia,4661,345,183,95,0,12,0,12,0,12,119,76,14,18,40,41,10,16,4478,345,422,113,310,83,368,164,2242,225,756,151,301,98,79,51,3.9,2.01736476876828,0,21,0,1.90909090909091,4419445.15234375,14644.7830792718,1100,217,4419445.15234375,14644.7830792718
25,11001001702,939294,0,Census Tract 17.02,District of Columbia,District of Columbia,3186,321,167,87,0,12,0,12,0,12,137,74,18,22,12,17,0,12,3019,331,185,100,169,57,112,58,1892,256,532,113,70,44,59,36,5.2,2.67914122056813,0,21,0,4.50643776824034,1556192.17578125,6252.85681638089,466,131,1556192.17578125,6252.85681638089
26,11001001803,1136289,31934,Census Tract 18.03,District of Columbia,District of Columbia,4176,400,856,340,142,98,78,57,14,18,490,196,83,81,31,33,18,19,3320,455,392,131,278,100,209,118,1975,301,311,98,80,43,75,52,20.5,7.90147362485022,234,115,21,9.35104354712066,1882736.171875,8557.65035419445,1113,233,1882736.171875,8557.65035419445
27,11001001804,601755,0,Census Tract 18.04,District of Columbia,District of Columbia,5614,640,1366,495,229,153,159,127,65,75,633,217,224,151,31,36,25,27,4248,536,362,195,262,126,325,148,2629,333,459,168,134,70,77,69,24.3,8.36955322431986,453,213,32.3,12.9076710344837,996833.94921875,4392.95727757238,1402,348,996833.94921875,4392.95727757238
28,11001001901,769306,0,Census Tract 19.01,District of Columbia,District of Columbia,4065,396,466,288,0,12,66,65,129,147,138,96,65,49,31,36,37,41,3599,426,309,109,260,110,149,59,2230,295,411,111,197,79,43,26,11.5,6.99630196376517,195,161,21.4,16.7810697937584,1274313.40625,4676.24009974069,913,231,1274313.40625,4676.24009974069
29,11001001902,877350,0,Census Tract 19.02,District of Columbia,District of Columbia,2491,248,225,171,26,39,24,32,41,35,99,73,12,14,17,15,6,9,2266,208,147,49,64,33,79,48,1438,145,303,81,109,44,126,38,9,6.80555729538819,91,61,23.9,14.7885642205552,1453243.828125,5138.57067207347,381,98,1453243.828125,5138.57067207347
30,11001002001,632723,1107,Census Tract 20.01,District of Columbia,District of Columbia,3150,352,385,136,8,11,23,24,32,30,203,90,105,69,10,11,4,6,2765,356,299,105,173,77,178,93,1495,211,440,113,155,77,25,17,12.2,4.09574112759705,63,40,8.8,5.22779279566848,1047951.15234375,5383.76979282423,713,165,1047951.15234375,5383.76979282423
31,11001002002,849377,0,Census Tract 20.02,District of Columbia,District of Columbia,4177,632,518,291,85,80,29,45,98,111,280,137,25,32,0,12,1,4,3659,613,224,103,267,117,231,162,2292,375,472,114,105,68,68,62,12.4,6.70928222874413,212,144,22.7,13.985427198659,1406462.27734375,5636.11172525434,934,267,1406462.27734375,5636.11172525434
32,11001002101,600991,0,Census Tract 21.01,District of Columbia,District of Columbia,4819,663,484,251,0,12,0,12,42,66,366,214,22,33,37,40,17,28,4335,666,269,183,178,126,199,217,2637,428,839,196,63,51,150,102,10,5.02191376800442,42,68,6.1,9.47314806171788,995264.33984375,4105.78624726881,688,318,995264.33984375,4105.78624726881
33,11001002102,726388,0,Census Tract 21.02,District of Columbia,District of Columbia,5177,425,689,215,17,28,41,38,30,33,416,152,94,67,57,48,34,25,4488,495,218,105,194,86,309,144,2935,387,543,129,139,59,150,70,13.3,4.00668888451749,88,58,10.9,6.609770547878,1202925.97265625,4565.9237237103,809,206,1202925.97265625,4565.9237237103
34,11001002201,415172,0,Census Tract 22.01,District of Columbia,District of Columbia,2930,429,207,119,0,12,0,12,0,12,112,90,18,24,46,71,31,47,2723,432,203,104,115,78,69,56,1584,325,455,114,193,89,104,59,7.1,3.9274978219698,0,21,0,5.42635658914729,687407.7109375,3314.36982012254,387,143,687407.7109375,3314.36982012254
35,11001002202,693964,566,Census Tract 22.02,District of Columbia,District of Columbia,3347,382,492,236,62,72,37,49,0,12,255,147,81,68,37,39,20,22,2855,422,295,135,199,106,146,99,1854,315,258,87,66,40,37,33,14.7,6.84858853237117,99,88,13.4,11.2405440691954,1149936.546875,4296.8794175813,739,217,1149936.546875,4296.8794175813
36,11001002301,412610,0,Census Tract 23.01,District of Columbia,District of Columbia,3616,389,310,157,35,39,0,12,40,43,209,101,11,16,15,20,0,12,3306,411,289,87,179,66,202,127,2131,358,318,102,91,41,96,50,8.6,4.24273290006987,75,59,10.1,7.54426283092572,683042.5703125,3688.34870396235,745,178,683042.5703125,3688.34870396235
37,11001002302,2010230,5298,Census Tract 23.02,District of Columbia,District of Columbia,1460,215,332,151,10,14,0,12,0,12,215,147,36,29,28,31,43,39,1128,188,61,40,24,22,14,20,685,145,117,63,100,55,127,83,22.7,9.78535055846361,10,22,9.2,19.6527134435631,3335728.08984375,7562.48440833315,109,54,3335728.08984375,7562.48440833315
38,11001002400,556234,0,Census Tract 24,District of Columbia,District of Columbia,4029,430,302,105,0,12,0,12,10,15,247,99,36,37,0,12,9,14,3727,407,295,114,135,72,83,56,2564,307,435,126,129,67,86,40,7.5,2.48028506068323,10,23,1.9,4.36482734713847,920776.640625,4191.97618481785,523,148,920776.640625,4191.97618481785
39,11001002501,543460,0,Census Tract 25.01,District of Columbia,District of Columbia,3133,317,468,176,0,12,52,55,0,12,177,107,128,72,111,70,0,12,2665,358,240,124,181,68,113,56,1809,334,229,81,47,31,46,37,14.9,5.41047691694685,52,58,8.9,9.58445617175694,899709.9453125,3995.76821099085,586,163,899709.9453125,3995.76821099085
40,11001002502,603721,0,Census Tract 25.02,District of Columbia,District of Columbia,6362,650,907,368,101,142,36,48,22,42,464,180,223,124,21,25,40,57,5455,802,426,205,282,160,67,78,3736,545,671,187,226,111,47,52,14.3,5.59794842547445,159,156,17,15.7010229143291,999312.62890625,4161.41850313403,934,313,999312.62890625,4161.41850313403
41,11001002600,2112346,62657,Census Tract 26,District of Columbia,District of Columbia,2518,203,102,56,25,26,0,12,0,12,59,43,11,17,7,11,0,12,2416,197,192,60,151,54,88,44,1385,126,405,73,84,33,111,48,4.1,2.19987893916015,25,31,5.5,6.69674008127987,3500170.4140625,13576.9243755268,456,97,3500170.4140625,13576.9243755268
42,11001002701,452924,0,Census Tract 27.01,District of Columbia,District of Columbia,6000,716,942,535,259,293,96,106,0,17,451,220,63,44,73,71,0,17,5058,715,503,216,194,129,222,197,3599,559,518,150,22,28,0,17,15.7,8.7176153444238,355,312,27.9,22.4517619829982,749604.0703125,4358.52046849197,1274,447,749604.0703125,4358.52046849197
43,11001002702,486440,7801,Census Tract 27.02,District of Columbia,District of Columbia,6302,555,720,284,54,88,0,17,13,21,511,229,142,102,0,17,0,17,5582,580,514,164,204,80,134,98,4119,475,510,192,53,81,48,57,11.4,4.39274738670484,67,92,7.3,9.84764724687846,804951.69921875,4658.91824276837,919,227,804951.69921875,4658.91824276837
44,11001002801,171911,0,Census Tract 28.01,District of Columbia,District of Columbia,4145,514,874,339,151,101,160,96,53,49,440,166,22,21,36,46,12,14,3271,530,190,127,105,74,102,70,2545,426,281,81,21,20,27,26,21.1,7.74929390491641,364,148,47.8,13.6958687898097,284523.47265625,2221.07076744405,761,220,284523.47265625,2221.07076744405
45,11001002802,229695,0,Census Tract 28.02,District of Columbia,District of Columbia,4618,448,926,372,56,64,167,128,116,140,392,186,65,51,63,56,67,49,3692,454,275,155,179,124,52,51,2803,369,313,107,70,49,0,12,20.1,7.81702884022684,339,200,40.1,19.3740252979222,380102.59765625,2705.92837101211,845,286,380102.59765625,2705.92837101211
46,11001002900,300647,0,Census Tract 29,District of Columbia,District of Columbia,4454,407,374,159,32,47,49,47,42,46,234,96,9,15,0,12,8,12,4080,417,223,88,176,89,114,59,3238,357,289,92,40,30,0,12,8.4,3.48638771617142,123,81,19.3,11.770887703064,497576.87109375,2987.90921144749,636,160,497576.87109375,2987.90921144749
47,11001003000,210638,0,Census Tract 30,District of Columbia,District of Columbia,3271,289,560,197,33,53,0,12,111,89,347,140,12,16,57,51,0,12,2711,324,136,101,89,57,54,43,1979,249,324,115,61,55,68,83,17.1,5.82958166876951,144,104,34,20.8660164137887,348559.69140625,2415.29800286589,423,162,348559.69140625,2415.29800286589
48,11001003100,296909,0,Census Tract 31,District of Columbia,District of Columbia,3282,305,317,143,37,40,50,56,0,12,158,70,41,40,31,42,0,12,2965,370,90,59,120,105,128,74,2193,273,320,106,44,32,70,55,9.7,4.26364071332258,87,70,20.5,14.6094237965712,491347.421875,3342.48544633119,425,158,491347.421875,3342.48544633119
49,11001003200,445441,0,Census Tract 32,District of Columbia,District of Columbia,4810,648,619,374,22,34,39,44,36,57,440,325,62,69,10,16,10,15,4191,589,173,99,150,73,138,70,3117,447,453,179,89,52,71,57,12.9,7.57972043953407,97,80,17.4,13.4128640379064,737177.328125,3942.73318606786,558,162,737177.328125,3942.73318606786
50,11001003301,442120,0,Census Tract 33.01,District of Columbia,District of Columbia,4066,389,267,164,0,12,0,12,0,12,264,164,1,5,2,5,0,12,3799,400,187,83,117,93,130,80,2858,303,289,112,128,64,90,75,6.6,3.98422102367724,0,21,0,4.83870967741936,731439.7734375,4252.14861688326,434,150,731439.7734375,4252.14861688326
51,11001003302,204236,0,Census Tract 33.02,District of Columbia,District of Columbia,2256,252,285,128,0,12,48,75,0,12,171,74,50,44,6,8,10,12,1971,233,121,59,23,25,19,23,1621,203,150,64,28,30,9,13,12.6,5.49547541936541,48,77,22.7,34.7799885896783,337824.3359375,2464.85592053074,211,103,337824.3359375,2464.85592053074
52,11001003400,917526,159593,Census Tract 34,District of Columbia,District of Columbia,2846,422,485,164,48,75,0,12,34,41,256,116,89,73,58,52,0,12,2361,420,146,108,60,69,115,77,1679,303,296,134,65,61,0,12,17,5.17889819058003,82,86,20.3,19.4876890072569,1782029.9921875,6180.46671843602,403,173,1782029.9921875,6180.46671843602
53,11001003500,381869,0,Census Tract 35,District of Columbia,District of Columbia,2938,434,591,282,103,142,64,84,29,22,229,85,115,63,20,18,31,34,2347,367,81,67,141,100,45,36,1738,237,321,123,11,11,10,11,20.1,9.12682353406457,196,166,42.3,30.3719297990563,631797.2109375,3840.5900187273,463,209,631797.2109375,3840.5900187273
54,11001003600,305616,0,Census Tract 36,District of Columbia,District of Columbia,4821,521,738,315,0,12,37,58,36,57,529,216,86,78,50,74,0,12,4083,476,201,146,112,83,0,12,3516,365,182,121,72,83,0,12,15.3,6.32101695410163,73,82,18.9,19.1604413208843,505654.2734375,2951.05111629594,386,187,505654.2734375,2951.05111629594
55,11001003700,292371,0,Census Tract 37,District of Columbia,District of Columbia,5762,659,1209,471,202,206,217,110,176,223,498,191,94,72,10,18,12,21,4553,645,380,292,281,277,85,135,3488,412,240,147,79,50,0,17,21,7.81405804699416,595,323,44.4,16.3797434849371,483729.546875,2959.74121078069,1341,533,483729.546875,2959.74121078069
56,11001003800,356114,0,Census Tract 38,District of Columbia,District of Columbia,5259,376,548,253,0,17,50,76,0,17,386,208,94,75,18,28,0,17,4711,354,227,119,170,95,113,132,3596,279,555,203,50,58,0,17,10.4,4.7527636135045,50,80,8.9,13.8643185535417,589169.5078125,3485.4960692215,560,217,589169.5078125,3485.4960692215
57,11001003900,379810,10579,Census Tract 39,District of Columbia,District of Columbia,4611,385,382,223,0,12,0,12,0,12,313,164,69,81,0,12,0,12,4229,306,146,55,29,30,15,23,3437,330,463,127,139,109,0,12,8.3,4.78653708496785,0,21,0,11.0526315789474,628648.796875,4298.67855161558,190,70,628648.796875,4298.67855161558
58,11001004001,271210,2414,Census Tract 40.01,District of Columbia,District of Columbia,4282,488,149,66,0,12,0,12,0,12,136,64,13,21,0,12,0,12,4133,486,110,57,126,49,92,31,3115,533,471,180,106,68,113,69,3.5,1.48944737921987,0,21,0,6.40243902439024,448738.96484375,3008.33391906519,328,84,448738.96484375,3008.33391906519
