OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,Shape__Area,Shape__Length,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area_2,Shape__Length_2
119,11001007903,247945,0,Census Tract 79.03,District of Columbia,District of Columbia,1971,292,321,227,47,64,16,39,26,30,167,106,34,33,28,23,3,5,1650,226,192,85,12,11,69,41,1058,148,253,62,47,28,19,17,16.3,11.2614289802785,89,81,24.6,20.7096470168884,409923.48828125,2801.78521280546,362,125,409923.48828125,2801.78521280546
120,11001008001,322795,0,Census Tract 80.01,District of Columbia,District of Columbia,3074,328,111,67,0,12,0,12,0,12,78,53,24,34,9,14,0,12,2963,350,454,147,159,93,13,18,2042,266,170,71,67,46,58,56,3.6,2.1452455926298,0,21,0,3.35463258785942,533673.01171875,3036.13380054872,626,176,533673.01171875,3036.13380054872
121,11001008002,579629,0,Census Tract 80.02,District of Columbia,District of Columbia,3460,268,252,172,24,35,0,12,18,25,162,117,48,45,0,12,0,12,3208,304,393,102,104,55,80,52,2089,212,407,115,112,67,23,26,7.3,4.93898466648973,42,45,6.8,7.11774359431616,958159.328125,4988.06083178915,619,135,958159.328125,4988.06083178915
122,11001008100,290283,0,Census Tract 81,District of Columbia,District of Columbia,3267,225,54,63,0,12,0,12,0,12,54,63,0,12,0,12,0,12,3213,233,368,94,122,49,49,38,2230,191,313,74,83,33,48,56,1.7,1.92501175949759,0,21,0,3.8961038961039,479873.89453125,2986.79586768652,539,115,479873.89453125,2986.79586768652
123,11001008200,338424,0,Census Tract 82,District of Columbia,District of Columbia,2821,291,225,182,0,12,0,12,0,12,223,183,2,4,0,12,0,12,2596,271,201,61,110,59,57,52,1738,200,397,85,93,62,0,12,8,6.39893639519136,0,21,0,5.70652173913043,559437.359375,3907.70288449043,368,102,559437.359375,3907.70288449043
124,11001008301,303973,0,Census Tract 83.01,District of Columbia,District of Columbia,2350,303,81,50,0,12,0,12,0,12,81,50,0,12,0,12,0,12,2269,311,236,87,56,49,21,24,1588,246,334,109,34,26,0,12,3.4,2.08072767304839,0,21,0,6.70926517571885,502566.29296875,3047.61819394524,313,105,502566.29296875,3047.61819394524
125,11001008302,260891,0,Census Tract 83.02,District of Columbia,District of Columbia,2404,189,84,43,0,12,0,12,0,12,80,44,4,7,0,12,0,12,2320,191,185,67,123,35,87,39,1613,151,227,89,39,29,46,33,3.5,1.76746460255696,0,21,0,5.31645569620253,431329.88671875,3054.18651503745,395,88,431329.88671875,3054.18651503745
126,11001008402,274180,0,Census Tract 84.02,District of Columbia,District of Columbia,2346,299,203,85,0,12,0,12,2,7,50,56,77,59,65,50,9,14,2143,301,139,66,0,12,28,34,1664,286,241,93,21,24,50,34,8.7,3.45126722139851,2,18,1.2,10.636693500602,453327.0703125,3466.79290547058,169,77,453327.0703125,3466.79290547058
127,11001008410,219938,0,Census Tract 84.10,District of Columbia,District of Columbia,1519,239,87,50,0,12,0,12,0,12,56,37,27,25,0,12,4,7,1432,237,142,71,40,32,19,21,1125,165,91,50,15,16,0,12,5.7,3.16588070534112,0,21,0,10.4477611940299,363672.828125,2998.61753106588,201,83,363672.828125,2998.61753106588
128,11001008701,382687,0,Census Tract 87.01,District of Columbia,District of Columbia,2359,450,155,89,0,12,0,12,0,12,133,77,14,20,8,13,0,12,2204,438,52,38,29,30,46,46,1783,348,172,74,56,60,66,41,6.6,3.55849765049898,0,21,0,16.5354330708661,632995.609375,3476.81499805413,127,70,632995.609375,3476.81499805413
129,11001008702,469972,0,Census Tract 87.02,District of Columbia,District of Columbia,2751,309,553,160,24,28,43,33,7,12,392,122,55,40,25,20,7,7,2198,353,183,75,38,32,61,49,1698,244,180,69,6,8,32,23,20.1,5.3599043813475,74,45,20.8,11.0454257098803,777398.296875,4761.94278937577,356,105,777398.296875,4761.94278937577
130,11001008802,468578,0,Census Tract 88.02,District of Columbia,District of Columbia,4300,431,770,263,143,122,0,12,15,24,408,166,108,62,78,46,18,19,3530,402,232,133,147,85,107,72,2278,299,547,171,152,53,67,42,17.9,5.84699407779056,158,125,24.5,17.6238729888237,774853.47265625,3641.49607937174,644,214,774853.47265625,3641.49607937174
131,11001008803,1165234,0,Census Tract 88.03,District of Columbia,District of Columbia,1767,297,859,291,87,48,84,50,112,68,509,194,67,59,0,12,0,12,908,191,79,59,45,32,45,35,645,140,90,51,0,12,4,7,48.6,14.2985608424443,283,97,62.6,13.0304731036655,1927222.51171875,6846.51689120056,452,123,1927222.51171875,6846.51689120056
132,11001008804,778052,0,Census Tract 88.04,District of Columbia,District of Columbia,2537,311,617,193,12,20,54,69,42,40,456,158,34,39,10,16,9,14,1920,310,106,62,71,48,112,79,1307,278,217,87,104,62,3,9,24.3,6.99889888791083,108,82,27.2,18.3502709920637,1286840.58203125,5079.7137836681,397,138,1286840.58203125,5079.7137836681
133,11001008903,305651,0,Census Tract 89.03,District of Columbia,District of Columbia,3252,403,873,382,245,159,74,78,30,47,459,204,57,55,0,12,8,12,2379,379,87,91,133,104,90,80,1660,224,314,106,56,39,39,34,26.8,11.2656937511928,349,183,53,19.7244985747992,505436.56640625,3743.378375745,659,243,505436.56640625,3743.378375745
134,11001008904,449343,0,Census Tract 89.04,District of Columbia,District of Columbia,3680,383,1079,301,157,144,34,35,46,39,676,190,120,61,24,28,22,26,2601,393,246,117,190,88,92,72,1752,325,266,78,49,39,6,10,29.3,7.58878106295766,237,153,31,17.8250458213448,742986.1328125,4034.66289491237,765,224,742986.1328125,4034.66289491237
135,11001009000,1430009,32262,Census Tract 90,District of Columbia,District of Columbia,3523,234,652,152,0,12,0,12,32,38,170,89,279,108,162,88,9,16,2871,283,402,147,107,72,78,67,1367,217,629,143,259,107,29,28,18.5,4.13568729088511,32,42,5.2,6.61122244116446,2400056.09375,6902.85070919323,619,182,2400056.09375,6902.85070919323
136,11001009102,1835339,453,Census Tract 91.02,District of Columbia,District of Columbia,5175,519,1577,538,207,211,221,185,218,133,731,240,171,89,29,31,0,17,3598,482,315,161,118,83,326,147,2261,293,433,135,71,42,74,39,30.5,9.93677097922114,646,311,46,18.1180795666454,3036982.4921875,8137.52297097977,1405,388,3036982.4921875,8137.52297097977
137,11001009201,640834,0,Census Tract 92.01,District of Columbia,District of Columbia,2395,332,498,203,0,12,25,27,6,10,423,207,27,27,11,17,6,14,1897,228,211,61,73,42,61,75,1277,155,178,69,65,43,32,30,20.8,7.97082948815444,31,31,8.2,7.88846962195203,1060438.859375,4288.79849046897,376,110,1060438.859375,4288.79849046897
138,11001009203,581089,0,Census Tract 92.03,District of Columbia,District of Columbia,2792,356,524,267,0,12,61,53,73,83,340,161,40,36,10,19,0,12,2268,359,103,80,182,138,64,61,1395,172,356,107,91,41,77,65,18.8,9.25878111997332,134,99,27.7,17.082981090895,961387.66796875,4435.25857998742,483,198,961387.66796875,4435.25857998742
139,11001009204,302795,0,Census Tract 92.04,District of Columbia,District of Columbia,2918,312,823,231,90,81,126,82,32,38,388,140,118,56,61,44,8,12,2095,340,173,111,150,119,91,55,1219,212,257,97,176,86,29,26,28.2,7.31948237855009,248,121,37.5,13.86136869504,500982.9609375,3243.38102003423,662,210,500982.9609375,3243.38102003423
140,11001009301,1097297,0,Census Tract 93.01,District of Columbia,District of Columbia,3468,406,361,163,8,12,0,12,0,12,217,113,71,79,50,40,15,21,3107,428,318,131,123,62,132,65,1825,256,411,130,170,108,128,62,10.4,4.5393835815847,8,21,1.4,3.59378667374801,1815874.36328125,5885.56917387804,581,160,1815874.36328125,5885.56917387804
141,11001009302,398354,0,Census Tract 93.02,District of Columbia,District of Columbia,1279,176,155,83,0,12,11,14,10,15,96,69,11,10,27,25,0,12,1124,188,80,48,14,14,36,39,744,109,173,90,42,35,35,33,12.1,6.27151171554921,21,24,13.9,14.6205292763707,659119.98828125,3541.95195350202,151,68,659119.98828125,3541.95195350202
142,11001009400,1582842,0,Census Tract 94,District of Columbia,District of Columbia,4908,463,409,222,0,12,0,12,9,14,283,198,62,43,33,26,22,24,4499,450,512,184,159,84,223,88,2606,285,613,107,273,96,113,51,8.3,4.45438921209561,9,22,1,2.4239239490818,2619840.02734375,7071.73057655183,903,222,2619840.02734375,7071.73057655183
143,11001009501,1595269,0,Census Tract 95.01,District of Columbia,District of Columbia,5438,582,568,228,16,24,0,17,49,50,383,199,73,64,47,53,0,17,4870,572,702,264,456,133,316,134,2852,320,426,118,107,53,11,17,10.4,4.04094554084769,65,58,4.2,3.65969234612243,2640777.5859375,8046.68693146489,1539,330,2640777.5859375,8046.68693146489
144,11001009503,1422862,746,Census Tract 95.03,District of Columbia,District of Columbia,3071,287,166,117,0,12,0,12,0,12,105,104,39,42,22,29,0,12,2905,276,156,111,133,120,266,102,1512,254,452,116,229,78,157,70,5.4,3.77619468630686,0,21,0,3.78378378378378,2356722.015625,7013.53644891213,555,194,2356722.015625,7013.53644891213
145,11001009504,1026343,0,Census Tract 95.04,District of Columbia,District of Columbia,3023,438,300,159,0,12,0,12,0,12,190,109,40,49,47,63,23,30,2723,430,235,109,126,91,68,51,1690,277,394,121,111,55,99,54,9.9,5.05932059018141,0,21,0,4.8951048951049,1698956.7109375,5441.83089169486,429,152,1698956.7109375,5441.83089169486
146,11001009505,1033853,0,Census Tract 95.05,District of Columbia,District of Columbia,2926,334,335,140,0,12,0,12,34,38,203,110,40,36,18,20,40,47,2591,373,202,92,202,96,137,78,1367,295,325,99,192,76,166,72,11.4,4.60274472777781,34,42,5.9,7.11822586592058,1712386.546875,5903.95459780622,575,160,1712386.546875,5903.95459780622
147,11001009507,293853,0,Census Tract 95.07,District of Columbia,District of Columbia,1924,256,266,164,82,84,21,31,11,16,94,68,30,30,28,20,0,12,1658,296,107,73,191,101,60,39,978,186,164,41,100,41,58,27,13.8,8.32304477638795,114,91,24.2,17.468121105473,486665.44140625,3190.81259230734,472,159,486665.44140625,3190.81259230734
148,11001009508,937117,28,Census Tract 95.08,District of Columbia,District of Columbia,3691,450,512,192,0,12,16,24,0,12,319,144,107,77,37,45,33,39,3179,422,184,115,168,114,211,113,1773,336,530,117,171,74,142,65,13.9,4.91924931128944,16,29,2.8,4.91471243294432,1551853.96484375,7407.15860914616,579,200,1551853.96484375,7407.15860914616
149,11001009509,644068,0,Census Tract 95.09,District of Columbia,District of Columbia,3314,326,129,79,0,12,0,12,0,12,40,37,16,19,15,18,58,53,3185,337,358,170,198,104,214,119,1636,249,491,146,189,79,99,50,3.9,2.35287132417794,0,21,0,2.72727272727273,1066396.578125,4256.64552303122,770,233,1066396.578125,4256.64552303122
150,11001009601,1884942,180632,Census Tract 96.01,District of Columbia,District of Columbia,2537,254,1040,297,131,78,139,98,148,84,537,179,63,52,13,13,9,13,1497,233,94,51,73,62,117,64,901,180,228,76,55,48,29,21,41,10.9637354609809,418,151,59.5,14.9520258596829,3120513.80078125,13448.5497050319,702,182,3120513.80078125,13448.5497050319
151,11001009602,1298021,65712,Census Tract 96.02,District of Columbia,District of Columbia,3675,573,1539,469,345,273,169,110,109,139,737,282,161,79,18,20,0,12,2136,472,230,137,127,114,138,103,1402,365,195,77,44,34,0,12,41.9,10.9650404527844,623,325,55.7,21.8378115548427,1731606.59375,7418.64018032461,1118,385,1731606.59375,7418.64018032461
152,11001009603,625729,0,Census Tract 96.03,District of Columbia,District of Columbia,3625,631,410,137,3,10,0,12,48,46,283,119,37,36,20,23,19,31,3215,653,337,239,127,108,131,80,2078,404,352,120,56,43,134,71,11.3,3.22600246442573,51,49,7.9,6.77771427982306,1034370.6875,4919.87286830189,646,278,1034370.6875,4919.87286830189
153,11001009604,488070,65762,Census Tract 96.04,District of Columbia,District of Columbia,2189,234,264,101,0,12,0,12,0,12,117,76,147,73,0,12,0,12,1925,243,146,106,89,44,82,44,1013,217,448,89,74,37,73,67,12.1,4.43020366147697,0,21,0,6.62460567823344,806830.9921875,3909.28379424641,317,125,806830.9921875,3909.28379424641
154,11001009700,403011,6751,Census Tract 97,District of Columbia,District of Columbia,3255,404,1172,414,243,159,164,120,82,83,553,243,95,70,35,34,0,12,2083,460,154,106,162,101,159,102,1200,309,287,94,121,70,0,12,36,11.9079222867373,489,216,50.7,16.8869124978663,676275.03515625,4351.2408765431,964,280,676275.03515625,4351.2408765431
155,11001009801,431383,17249,Census Tract 98.01,District of Columbia,District of Columbia,2301,281,953,302,218,112,174,95,159,82,334,122,53,35,13,21,2,4,1348,268,60,48,145,70,81,68,809,187,159,57,55,58,39,31,41.4,12.1110133326404,551,168,65.8,12.4465925003415,740425.3671875,4174.89242305282,837,200,740425.3671875,4174.89242305282
156,11001009802,200745,0,Census Tract 98.02,District of Columbia,District of Columbia,2051,234,985,221,218,88,184,70,50,36,513,150,15,15,5,8,0,12,1066,235,44,38,98,71,82,51,674,175,131,46,21,16,16,15,48,9.27811853875944,452,118,66.9,8.89846746638074,331280.96875,2726.60603088217,676,152,331280.96875,2726.60603088217
157,11001009803,531058,0,Census Tract 98.03,District of Columbia,District of Columbia,3081,460,1285,342,231,150,100,74,153,86,595,170,198,86,8,13,0,12,1796,392,120,117,116,79,172,98,1051,249,263,80,65,56,9,15,41.7,9.18918868384244,484,188,54.3,14.2718468001549,876505.625,4108.73659471516,892,255,876505.625,4108.73659471516
158,11001009804,518364,0,Census Tract 98.04,District of Columbia,District of Columbia,2826,281,957,309,84,63,174,90,110,63,524,184,62,38,3,5,0,12,1869,290,130,63,142,53,126,61,1144,218,250,55,67,35,10,11,33.9,10.4027905123353,368,127,48,13.0645363396352,855645.25,4803.75235264296,766,163,855645.25,4803.75235264296
159,11001009807,1037014,0,Census Tract 98.07,District of Columbia,District of Columbia,3290,434,1041,395,110,89,131,107,93,71,588,221,77,44,36,36,6,9,2249,379,153,116,136,105,116,81,1315,255,362,92,160,86,7,11,31.6,11.2571737579364,334,156,45.2,15.4326188032781,1711265.2421875,6497.31150563863,739,235,1711265.2421875,6497.31150563863
160,11001009810,398420,14058,Census Tract 98.10,District of Columbia,District of Columbia,2895,392,1080,392,272,176,71,77,13,21,627,234,97,58,0,12,0,12,1815,435,184,86,172,110,97,85,1118,321,192,87,31,47,21,35,37.3,12.5630709388855,356,193,44,19.483926142161,680629.0078125,3614.49330438025,809,253,680629.0078125,3614.49330438025
161,11001009811,467504,0,Census Tract 98.11,District of Columbia,District of Columbia,5163,558,1841,480,315,242,211,121,162,99,926,245,196,111,31,38,0,17,3322,530,187,103,239,127,396,161,2141,391,281,107,66,50,12,19,35.7,8.4605748101732,688,288,45.6,15.4936265950655,771412.70703125,4573.46263086629,1510,368,771412.70703125,4573.46263086629
162,11001009901,2102151,0,Census Tract 99.01,District of Columbia,District of Columbia,2890,366,270,175,0,12,0,12,0,12,132,97,92,83,23,24,23,22,2620,367,122,82,194,85,116,78,1449,242,457,111,181,53,101,47,9.3,5.93864637116044,0,21,0,4.86111111111111,3473407.65234375,7642.71832684611,432,143,3473407.65234375,7642.71832684611
163,11001009902,1294559,0,Census Tract 99.02,District of Columbia,District of Columbia,3105,360,487,251,57,72,0,12,18,22,246,157,90,85,50,47,26,28,2618,356,130,71,164,70,144,74,1543,281,433,151,142,58,62,43,15.7,7.87654244910437,75,76,14.6,14.2226510816894,2138797.8515625,6873.748049006,513,146,2138797.8515625,6873.748049006
164,11001009903,383679,0,Census Tract 99.03,District of Columbia,District of Columbia,1952,217,376,171,7,13,51,41,77,67,201,87,31,29,0,12,9,14,1576,250,106,73,84,55,71,47,1033,164,194,54,33,26,55,32,19.3,8.49449952731384,135,80,34.1,16.8163968666348,634188.76171875,4146.32199784477,396,130,634188.76171875,4146.32199784477
165,11001009904,426198,0,Census Tract 99.04,District of Columbia,District of Columbia,2948,482,1040,323,333,191,149,99,22,25,474,142,62,30,0,12,0,12,1908,459,293,162,91,53,159,57,1219,286,126,58,15,16,5,9,35.3,9.31540722117255,504,217,48.1,16.1983718479453,704402.4609375,3862.80888761728,1047,281,704402.4609375,3862.80888761728
166,11001009905,431557,0,Census Tract 99.05,District of Columbia,District of Columbia,2852,389,810,251,107,94,99,81,118,88,395,122,80,53,0,12,11,18,2042,396,190,110,127,68,88,57,1293,314,251,112,93,72,0,12,28.4,7.90244244969032,324,152,44.4,16.577478455344,713249.5703125,3739.60436921376,729,208,713249.5703125,3739.60436921376
167,11001009906,252684,0,Census Tract 99.06,District of Columbia,District of Columbia,1623,252,371,128,18,21,0,12,72,57,204,87,64,31,2,4,11,11,1252,234,68,49,101,69,66,43,799,157,169,57,21,16,28,22,22.9,7.04284778178957,90,62,27.7,16.4505095908551,417657.11328125,2755.68005871659,325,113,417657.11328125,2755.68005871659
168,11001009907,466954,0,Census Tract 99.07,District of Columbia,District of Columbia,2773,298,800,239,88,89,105,103,151,117,446,137,10,17,0,12,0,12,1973,388,80,76,166,120,140,101,1251,297,215,84,113,74,8,15,28.8,8.04189965108534,344,179,47.1,18.4574189373809,771711.2890625,4083.37616336483,730,250,771711.2890625,4083.37616336483
169,11001010100,580133,0,Census Tract 101,District of Columbia,District of Columbia,2801,223,463,194,0,12,0,12,0,12,348,155,85,78,30,47,0,12,2338,222,120,114,19,21,35,37,1835,205,233,99,41,31,55,39,16.5,6.79992243758867,0,21,0,12.0689655172414,959294.12109375,4429.85228320694,174,123,959294.12109375,4429.85228320694
170,11001010200,1243394,137330,Census Tract 102,District of Columbia,District of Columbia,2724,284,205,115,16,21,25,33,0,12,134,75,3,6,19,29,8,18,2519,290,149,117,27,24,43,37,1697,242,409,112,132,55,62,47,7.5,4.14818065480494,41,41,15.8,13.5923484392755,2056800.3671875,6895.95735224422,260,132,2056800.3671875,6895.95735224422
171,11001010300,1084530,61,Census Tract 103,District of Columbia,District of Columbia,3326,467,405,175,42,57,21,28,18,19,296,133,20,19,8,12,0,12,2921,417,127,70,232,116,177,105,1727,312,442,131,163,64,53,72,12.2,4.97604273517601,81,66,13.1,9.95985683585765,1797137.8359375,6931.49886789289,617,184,1797137.8359375,6931.49886789289
172,11001010400,2744444,83,Census Tract 104,District of Columbia,District of Columbia,4203,577,1157,509,113,113,85,95,82,116,727,398,115,79,35,33,0,12,3046,513,165,102,321,132,411,231,1782,318,242,100,71,42,54,46,27.5,11.5056505570483,280,188,23.8,14.4055749979673,4531479.0390625,10009.9142104949,1177,341,4531479.0390625,10009.9142104949
173,11001010500,749889,0,Census Tract 105,District of Columbia,District of Columbia,3624,298,781,264,38,40,30,31,96,98,452,180,110,69,55,76,0,12,2843,310,114,88,68,78,0,12,2347,273,208,102,106,87,0,12,21.6,7.06593734233436,164,110,47.4,22.8079246251716,1239276.328125,4758.20906758736,346,162,1239276.328125,4758.20906758736
174,11001010600,1231590,0,Census Tract 106,District of Columbia,District of Columbia,7167,592,899,268,0,17,0,17,12,23,831,255,56,51,0,17,0,17,6268,560,260,106,105,59,110,97,5413,489,342,144,11,17,27,32,12.5,3.59295044168787,12,33,2.5,6.72693628657582,2036555.328125,6759.81819614806,487,159,2036555.328125,6759.81819614806
175,11001010700,891593,0,Census Tract 107,District of Columbia,District of Columbia,1589,140,322,110,0,12,0,12,0,12,320,110,0,12,2,4,0,12,1267,148,9,13,0,12,0,12,1049,147,140,39,65,43,4,7,20.3,6.68839515271525,0,21,0,233.333333333333,1474360.09375,4919.35612430557,9,30,1474360.09375,4919.35612430557
176,11001010800,661579,0,Census Tract 108,District of Columbia,District of Columbia,1263,172,576,149,0,17,0,17,0,17,535,138,40,65,1,3,0,17,687,129,0,17,0,17,0,17,589,126,71,38,6,9,21,14,45.6,10.0301060923713,0,29,,,1093808.80078125,4478.86730839099,0,42,1093808.80078125,4478.86730839099
177,11001010900,2379832,2936613,Census Tract 109,District of Columbia,District of Columbia,4043,810,1772,723,286,133,123,79,171,115,1130,611,62,50,0,12,0,12,2271,480,295,137,199,121,177,148,1347,280,244,80,0,12,9,13,43.8,15.5784505945516,580,193,46.4,10.5263348726256,3943687.66015625,12536.8102282983,1251,304,3943687.66015625,12536.8102282983
178,11001011000,649469,368702,Census Tract 110,District of Columbia,District of Columbia,3667,356,242,129,0,12,0,12,0,12,213,131,16,27,13,22,0,12,3425,366,98,119,61,87,58,69,1977,301,819,178,333,141,79,55,6.6,3.45902844501509,0,21,0,9.67741935483871,1073002.84375,5981.05810741179,217,164,1073002.84375,5981.05810741179
179,11001011100,5715826,365541,Census Tract 111,District of Columbia,District of Columbia,5304,566,1123,468,0,17,65,60,6,11,835,389,166,75,44,70,7,17,4181,480,424,141,255,120,199,69,2293,329,697,151,165,72,148,85,21.2,8.52935379715791,71,63,7.5,6.43285444233291,9481230.296875,23605.4880349697,949,207,9481230.296875,23605.4880349697
